username,num_of_questions_answered,num_of_correct_answers,num_of_explanations,num_of_lectures,devicesUsed,confidence_level,payments,duration
u100043,605,264,412,22,web,24,1,8640000000
u10019,1761,1412,1766,3,web,105,0,0
u10020,169,115,119,2,Unknown,19,1,15552000000
u10021,136,96,114,1,Unknown,3,2,28080000000
u10026,60,42,65,3,mobile,48,1,2592000000
u10030,179,127,148,5,Unknown,20,1,4320000000
u10032,306,183,303,48,Unknown,0,1,15552000000
u10033,0,0,1,0,Unknown,0,1,15552000000
u10037,6,3,0,0,mobile,0,0,0
u10046,6,4,0,0,web,1,0,0
u10052,1359,1000,1350,25,mobile,4,0,0
u1008,96,75,96,2,mobile,1,0,0
u10085,11,6,6,0,web,4,1,6480000000
u1009,31,17,76,3,mobile,1,0,0
u10090,17,8,15,0,Unknown,0,1,8640000000
u10141,6,2,0,0,web,0,0,0
u10143,698,428,766,10,mobile,493,0,0
u10147,3317,2336,2872,173,Unknown,1958,3,14688000000
u10150,135,96,137,4,mobile,0,0,0
u10151,381,242,386,2,web,1,0,0
u10153,17,11,10,0,mobile,0,0,0
u10155,89,58,83,12,mobile,0,1,8640000000
u10156,40,32,31,15,mobile,1,1,8640000000
u10178,134,78,125,3,Unknown,0,2,24192000000
u10179,197,104,197,2,mobile,73,0,0
u1018,12,4,4,1,mobile,0,0,0
u10180,17,9,10,1,mobile,4,0,0
u10181,1113,829,1082,29,web,652,1,8640000000
u10182,402,248,349,19,Unknown,0,1,8640000000
u10183,1462,934,761,5,mobile,47,2,6912000000
u1019,1037,584,989,25,mobile,4,1,15552000000
u1020,356,191,285,11,mobile,1,2,6912000000
u10208,80,43,76,2,mobile,4,0,0
u10209,1466,1020,1507,2,mobile,180,1,8640000000
u1021,72,49,79,6,mobile,66,1,8640000000
u102122,193,143,203,2,mobile,20,0,0
u10218,7,0,0,0,mobile,0,0,0
u10219,1604,890,1618,31,mobile,27,2,13824000000
u1022,62,39,54,5,mobile,9,1,2592000000
u10224,33,19,22,0,mobile,0,1,8640000000
u10225,7,3,0,0,mobile,0,1,8640000000
u10226,456,293,450,1,mobile,19,0,0
u10231,595,413,651,19,mobile,433,2,19872000000
u10232,384,282,438,38,Unknown,419,1,15552000000
u10233,335,184,357,1,mobile,86,0,0
u10235,415,248,195,4,Unknown,213,1,8640000000
u10236,61,36,53,0,mobile,0,0,0
u10237,95,53,98,2,mobile,4,1,8640000000
u1024,8,1,1,0,mobile,1,0,0
u10245,2224,1455,1413,6,Unknown,722,2,17280000000
u10250,353,242,363,3,mobile,30,0,0
u10251,417,276,416,21,mobile,2,0,0
u1026,415,288,395,8,mobile,4,1,5184000000
u1027,6,2,0,0,web,4,0,0
u10293,55,34,59,4,mobile,1,0,0
u103,7,6,0,0,mobile,0,0,0
u1030,121,96,136,6,mobile,103,0,0
u1031,108,79,95,9,web,0,1,4320000000
u10319,324,195,309,28,Unknown,431,1,8640000000
u1032,73,32,46,3,mobile,4,1,8640000000
u1033,153,98,174,13,Unknown,5,3,30240000000
u1034,193,140,208,12,mobile,108,0,0
u10340,1104,830,1152,1,mobile,1,0,0
u10341,17,13,12,0,Unknown,4,1,8640000000
u10342,4998,3927,5261,180,Unknown,20,2,19008000000
u10344,457,357,519,1,Unknown,5,1,8640000000
u10345,1334,832,1064,38,mobile,4,3,15552000000
