,username,num_of_questions_answered,num_of_correct_answers,num_of_explanations,num_of_lectures,devicesUsed,confidence_level,payments,duration,accuracy
0,u100043,605,264,412,22,web,24,1,2400.0,0.43636363636363634
1,u10019,1761,1412,1766,3,web,105,0,0.0,0.8018171493469619
2,u10020,169,115,119,2,Unknown,19,1,4320.0,0.6804733727810651
3,u10021,136,96,114,1,Unknown,3,2,7800.0,0.7058823529411765
4,u10026,60,42,65,3,mobile,48,1,720.0,0.7
5,u10030,179,127,148,5,Unknown,20,1,1200.0,0.7094972067039106
6,u10032,306,183,303,48,Unknown,0,1,4320.0,0.5980392156862745
7,u10033,0,0,1,0,Unknown,0,1,4320.0,0.0
8,u10037,6,3,0,0,mobile,0,0,0.0,0.5
9,u10046,6,4,0,0,web,1,0,0.0,0.6666666666666666
10,u10052,1359,1000,1350,25,mobile,4,0,0.0,0.7358351729212657
11,u1008,96,75,96,2,mobile,1,0,0.0,0.78125
12,u10085,11,6,6,0,web,4,1,1800.0,0.5454545454545454
13,u1009,31,17,76,3,mobile,1,0,0.0,0.5483870967741935
14,u10090,17,8,15,0,Unknown,0,1,2400.0,0.47058823529411764
15,u10141,6,2,0,0,web,0,0,0.0,0.3333333333333333
16,u10143,698,428,766,10,mobile,493,0,0.0,0.6131805157593123
17,u10147,3317,2336,2872,173,Unknown,1958,3,4080.0,0.7042508290624058
18,u10150,135,96,137,4,mobile,0,0,0.0,0.7111111111111111
19,u10151,381,242,386,2,web,1,0,0.0,0.6351706036745407
20,u10153,17,11,10,0,mobile,0,0,0.0,0.6470588235294118
21,u10155,89,58,83,12,mobile,0,1,2400.0,0.651685393258427
22,u10156,40,32,31,15,mobile,1,1,2400.0,0.8
23,u10178,134,78,125,3,Unknown,0,2,6720.0,0.582089552238806
24,u10179,197,104,197,2,mobile,73,0,0.0,0.5279187817258884
25,u1018,12,4,4,1,mobile,0,0,0.0,0.3333333333333333
26,u10180,17,9,10,1,mobile,4,0,0.0,0.5294117647058824
27,u10181,1113,829,1082,29,web,652,1,2400.0,0.7448337825696316
28,u10182,402,248,349,19,Unknown,0,1,2400.0,0.6169154228855721
29,u10183,1462,934,761,5,mobile,47,2,1920.0,0.6388508891928865
30,u1019,1037,584,989,25,mobile,4,1,4320.0,0.5631629701060752
31,u1020,356,191,285,11,mobile,1,2,1920.0,0.5365168539325843
32,u10208,80,43,76,2,mobile,4,0,0.0,0.5375
33,u10209,1466,1020,1507,2,mobile,180,1,2400.0,0.6957708049113234
34,u1021,72,49,79,6,mobile,66,1,2400.0,0.6805555555555556
35,u102122,193,143,203,2,mobile,20,0,0.0,0.7409326424870466
36,u10218,7,0,0,0,mobile,0,0,0.0,0.0
37,u10219,1604,890,1618,31,mobile,27,2,3840.0,0.5548628428927681
38,u1022,62,39,54,5,mobile,9,1,720.0,0.6290322580645161
39,u10224,33,19,22,0,mobile,0,1,2400.0,0.5757575757575758
40,u10225,7,3,0,0,mobile,0,1,2400.0,0.42857142857142855
41,u10226,456,293,450,1,mobile,19,0,0.0,0.6425438596491229
42,u10231,595,413,651,19,mobile,433,2,5520.0,0.6941176470588235
43,u10232,384,282,438,38,Unknown,419,1,4320.0,0.734375
44,u10233,335,184,357,1,mobile,86,0,0.0,0.5492537313432836
45,u10235,415,248,195,4,Unknown,213,1,2400.0,0.5975903614457831
46,u10236,61,36,53,0,mobile,0,0,0.0,0.5901639344262295
47,u10237,95,53,98,2,mobile,4,1,2400.0,0.5578947368421052
48,u1024,8,1,1,0,mobile,1,0,0.0,0.125
49,u10245,2224,1455,1413,6,Unknown,722,2,4800.0,0.654226618705036
50,u10250,353,242,363,3,mobile,30,0,0.0,0.6855524079320113
51,u10251,417,276,416,21,mobile,2,0,0.0,0.6618705035971223
52,u1026,415,288,395,8,mobile,4,1,1440.0,0.6939759036144578
53,u1027,6,2,0,0,web,4,0,0.0,0.3333333333333333
54,u10293,55,34,59,4,mobile,1,0,0.0,0.6181818181818182
55,u103,7,6,0,0,mobile,0,0,0.0,0.8571428571428571
56,u1030,121,96,136,6,mobile,103,0,0.0,0.7933884297520661
57,u1031,108,79,95,9,web,0,1,1200.0,0.7314814814814815
58,u10319,324,195,309,28,Unknown,431,1,2400.0,0.6018518518518519
59,u1032,73,32,46,3,mobile,4,1,2400.0,0.4383561643835616
60,u1033,153,98,174,13,Unknown,5,3,8400.0,0.6405228758169934
61,u1034,193,140,208,12,mobile,108,0,0.0,0.7253886010362695
62,u10340,1104,830,1152,1,mobile,1,0,0.0,0.7518115942028986
63,u10341,17,13,12,0,Unknown,4,1,2400.0,0.7647058823529411
64,u10342,4998,3927,5261,180,Unknown,20,2,5280.0,0.7857142857142857
65,u10344,457,357,519,1,Unknown,5,1,2400.0,0.7811816192560175
66,u10345,1334,832,1064,38,mobile,4,3,4320.0,0.623688155922039
67,u10346,2044,1576,1686,105,Unknown,1802,1,1200.0,0.7710371819960861
68,u10347,1189,606,1208,1,mobile,276,0,0.0,0.5096719932716569
69,u1035,1581,981,1421,152,mobile,309,1,1200.0,0.6204933586337761
70,u10350,7,3,0,0,mobile,0,0,0.0,0.42857142857142855
71,u10351,61,23,50,1,Unknown,6,1,2400.0,0.3770491803278688
72,u10354,16,11,6,0,Unknown,0,1,2400.0,0.6875
73,u10357,83,57,83,1,mobile,7,0,0.0,0.6867469879518072
74,u1036,7,3,0,1,mobile,0,0,0.0,0.42857142857142855
75,u10368,21,7,4,0,mobile,0,1,2400.0,0.3333333333333333
76,u10369,942,653,979,17,mobile,408,0,0.0,0.6932059447983014
77,u1037,322,170,301,50,Unknown,0,1,2400.0,0.5279503105590062
78,u10378,391,231,443,1,mobile,372,0,0.0,0.5907928388746803
79,u10379,117,85,109,1,mobile,3,0,0.0,0.7264957264957265
80,u10380,22,15,14,1,mobile,1,0,0.0,0.6818181818181818
81,u10381,1180,826,1184,9,mobile,15,0,0.0,0.7
82,u10383,124,92,123,5,mobile,3,0,0.0,0.7419354838709677
83,u10384,11,6,2,0,mobile,0,1,2400.0,0.5454545454545454
84,u10386,0,0,1,1,mobile,0,0,0.0,0.0
85,u10390,590,450,520,38,mobile,20,0,0.0,0.7627118644067796
86,u10391,332,208,337,3,Unknown,67,1,1200.0,0.6265060240963856
87,u10395,872,494,606,26,mobile,576,1,2400.0,0.5665137614678899
88,u10409,7,2,5,0,mobile,0,0,0.0,0.2857142857142857
89,u10420,171,100,79,3,Unknown,0,1,1200.0,0.5847953216374269
90,u10424,17,5,9,0,mobile,0,0,0.0,0.29411764705882354
91,u10426,19,8,15,0,mobile,0,0,0.0,0.42105263157894735
92,u10427,491,244,483,3,mobile,2,0,0.0,0.4969450101832994
93,u10430,74,48,72,0,mobile,5,0,0.0,0.6486486486486487
94,u10432,61,19,61,1,mobile,2,0,0.0,0.3114754098360656
95,u10433,144,88,144,10,mobile,0,0,0.0,0.6111111111111112
96,u10434,10,7,0,0,web,48,0,0.0,0.7
97,u10435,53,28,45,0,Unknown,59,1,2400.0,0.5283018867924528
98,u10436,243,146,246,5,mobile,11,0,0.0,0.6008230452674898
99,u10443,10,5,3,0,mobile,0,0,0.0,0.5
100,u1046,393,217,210,104,Unknown,0,1,1440.0,0.5521628498727735
101,u1047,55,38,37,0,mobile,30,1,1200.0,0.6909090909090909
102,u10480,931,549,964,9,mobile,6,0,0.0,0.58968850698174
103,u10494,56,27,46,0,mobile,0,0,0.0,0.48214285714285715
104,u1052,12,7,1,7,web,1,1,1200.0,0.5833333333333334
105,u10523,217,149,213,0,mobile,10,0,0.0,0.6866359447004609
106,u1053,76,38,69,5,mobile,2,0,0.0,0.5
107,u10537,229,131,185,12,Unknown,216,1,4320.0,0.5720524017467249
108,u10540,57,23,58,6,mobile,30,1,3600.0,0.40350877192982454
109,u10541,6,2,0,0,mobile,0,0,0.0,0.3333333333333333
110,u10543,24,17,18,0,Unknown,0,1,720.0,0.7083333333333334
111,u10551,802,624,523,6,mobile,195,1,1200.0,0.7780548628428927
112,u10553,264,247,254,0,web,16,0,0.0,0.9356060606060606
113,u10554,839,481,873,1,mobile,764,0,0.0,0.5733015494636472
114,u10555,68,41,51,0,Unknown,10,1,1200.0,0.6029411764705882
115,u10556,6,2,0,0,mobile,0,0,0.0,0.3333333333333333
116,u10569,155,105,148,3,mobile,0,1,2400.0,0.6774193548387096
117,u10578,7,4,18,2,Unknown,0,1,2400.0,0.5714285714285714
118,u10580,438,210,414,132,Unknown,192,0,0.0,0.4794520547945205
119,u10581,1144,776,1183,28,mobile,615,1,2400.0,0.6783216783216783
120,u10587,70,34,60,1,Unknown,1,1,2400.0,0.4857142857142857
121,u10591,374,203,374,2,mobile,12,0,0.0,0.5427807486631016
122,u10592,26,12,27,5,mobile,31,1,1200.0,0.46153846153846156
123,u10593,558,349,561,2,Unknown,11,1,1200.0,0.6254480286738351
124,u10594,58,43,49,0,mobile,0,0,0.0,0.7413793103448276
125,u10608,485,320,487,25,mobile,78,0,0.0,0.6597938144329897
126,u10609,1390,993,1394,49,mobile,10,0,0.0,0.7143884892086331
127,u10618,17,11,11,0,mobile,21,1,2400.0,0.6470588235294118
128,u10619,112,72,108,1,mobile,6,0,0.0,0.6428571428571429
129,u10620,3278,2511,2171,23,Unknown,524,1,4320.0,0.7660158633312996
130,u10621,66,28,57,0,mobile,8,0,0.0,0.42424242424242425
131,u10622,9,8,4,0,Unknown,0,1,1200.0,0.8888888888888888
132,u10623,19,10,27,0,mobile,1,0,0.0,0.5263157894736842
133,u10626,432,271,442,1,mobile,155,0,0.0,0.6273148148148148
134,u10631,444,279,250,1,Unknown,2,2,3120.0,0.6283783783783784
135,u10636,86,32,65,12,Unknown,0,1,1200.0,0.37209302325581395
136,u10637,157,111,196,0,mobile,153,0,0.0,0.7070063694267515
137,u10641,297,182,297,20,web,0,0,0.0,0.6127946127946128
138,u10683,11,4,1,0,Unknown,0,1,720.0,0.36363636363636365
139,u10696,245,169,236,14,mobile,26,1,4320.0,0.689795918367347
